Julia,-1.0,1.0,1.0,4.0,5.0,-2.0,-1.0,-1.0,-4.0,-2.0,-10.0,-3.0,-1.0,0.0,-2.0,-1.0,-3.0,-4.0,-5.0,-8.0,-12.0,-1.0,-2.0,1.0,57.0,15.0,-18.0,-4.0,-10.0,-20.0,-38.0,12.0,-5.0,-4.0,-8.0,1.0,1.0,-8.0,-4.0,-7.0,15.0,0.0,-16.0,-7.0,29.0,21.0,17.0,45.0,-7.0,-3.0,1.0,1.0,1.0,-6.0,-5.0,-1.0,-4.0,-17.0,-6.0,-2.0,13.0,2.0,17.0,78.0
Julia,-1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,10.0,0.0,-1.0,1.0,1.0,2.0,5.0,-5.0,-2.0,4.0,5.0,2.0,0.0,-2.0,-24.0,-30.0,0.0,12.0,5.0,-16.0,-24.0,-21.0,-40.0,-2.0,-4.0,-9.0,-9.0,-2.0,0.0,-2.0,-4.0,25.0,17.0,12.0,4.0,13.0,21.0,-10.0,7.0,-3.0,-1.0,6.0,10.0,7.0,-1.0,-9.0,-7.0,-11.0,0.0,7.0,7.0,2.0,25.0,10.0,61.0
Julia,-10.0,-23.0,-14.0,-11.0,-9.0,-6.0,0.0,-27.0,-1.0,1.0,0.0,1.0,-3.0,0.0,1.0,-1.0,-27.0,-10.0,30.0,20.0,16.0,17.0,10.0,-10.0,-2.0,0.0,3.0,2.0,2.0,2.0,-5.0,4.0,1.0,5.0,-33.0,-17.0,-2.0,-8.0,-1.0,85.0,0.0,-3.0,2.0,3.0,-3.0,-4.0,5.0,9.0,-40.0,-20.0,-50.0,-21.0,9.0,4.0,-69.0,-92.0,-2.0,-8.0,-11.0,-21.0,-20.0,-11.0,-7.0,1.0
Julia,-12.0,6.0,11.0,5.0,-1.0,1.0,-3.0,0.0,0.0,2.0,2.0,1.0,1.0,-2.0,-1.0,0.0,-44.0,-108.0,-50.0,-17.0,-1.0,-12.0,3.0,14.0,-5.0,-1.0,-2.0,5.0,2.0,0.0,-2.0,-1.0,24.0,-18.0,-14.0,-20.0,-21.0,-27.0,13.0,34.0,-1.0,-4.0,-9.0,-1.0,1.0,-5.0,-11.0,-17.0,51.0,47.0,2.0,3.0,19.0,37.0,58.0,120.0,-7.0,-5.0,-10.0,-4.0,-6.0,-7.0,-13.0,-9.0
Julia,-18.0,-4.0,-3.0,-6.0,-4.0,-4.0,-8.0,-46.0,4.0,4.0,4.0,3.0,6.0,8.0,7.0,16.0,11.0,39.0,13.0,-8.0,-43.0,-52.0,-12.0,3.0,-4.0,-6.0,-5.0,-1.0,-5.0,-4.0,-11.0,-23.0,6.0,-14.0,-14.0,-10.0,11.0,20.0,-3.0,-57.0,-5.0,-1.0,4.0,13.0,3.0,-7.0,-4.0,-16.0,16.0,49.0,-15.0,-22.0,-4.0,-19.0,2.0,41.0,0.0,-3.0,0.0,1.0,-2.0,-2.0,3.0,-18.0
Julia,-19.0,-11.0,3.0,-1.0,1.0,7.0,1.0,-28.0,3.0,8.0,14.0,9.0,14.0,13.0,8.0,33.0,-60.0,5.0,-2.0,-7.0,-11.0,-17.0,-28.0,-38.0,-2.0,0.0,5.0,5.0,5.0,3.0,2.0,12.0,-25.0,-19.0,-13.0,-5.0,-13.0,9.0,10.0,-63.0,-4.0,-6.0,-10.0,-14.0,-12.0,-10.0,-22.0,-12.0,20.0,-33.0,-14.0,-8.0,-17.0,-16.0,-11.0,-54.0,-9.0,-9.0,-6.0,0.0,3.0,-1.0,2.0,-5.0
Julia,-2.0,-1.0,-3.0,-2.0,0.0,2.0,1.0,-6.0,8.0,3.0,2.0,-5.0,-2.0,1.0,3.0,12.0,1.0,-2.0,-2.0,-2.0,-8.0,-2.0,5.0,-6.0,-47.0,-75.0,-15.0,-8.0,11.0,9.0,16.0,30.0,-1.0,1.0,-1.0,-4.0,2.0,7.0,9.0,-4.0,8.0,14.0,9.0,0.0,-16.0,-15.0,3.0,42.0,3.0,-3.0,-1.0,-4.0,-14.0,-8.0,-6.0,38.0,-82.0,-33.0,-12.0,-21.0,-21.0,-33.0,-68.0,-148.0
Julia,-2.0,-3.0,-5.0,-2.0,-5.0,-7.0,-5.0,5.0,-10.0,-3.0,-2.0,1.0,0.0,0.0,-6.0,-14.0,-2.0,-3.0,2.0,6.0,8.0,3.0,5.0,-17.0,-45.0,-39.0,3.0,14.0,0.0,15.0,-2.0,-26.0,-1.0,-2.0,4.0,4.0,2.0,0.0,0.0,-1.0,18.0,38.0,-9.0,-10.0,16.0,13.0,7.0,2.0,2.0,1.0,7.0,10.0,7.0,2.0,0.0,18.0,-17.0,7.0,-24.0,-15.0,20.0,12.0,3.0,-16.0
Julia,-2.0,-8.0,5.0,0.0,-1.0,-1.0,-5.0,-2.0,-5.0,-3.0,-1.0,-1.0,-3.0,-3.0,-6.0,-18.0,-47.0,-53.0,6.0,10.0,4.0,-1.0,0.0,-62.0,5.0,0.0,-1.0,2.0,1.0,-6.0,-1.0,8.0,37.0,22.0,39.0,18.0,13.0,-6.0,6.0,43.0,-3.0,-8.0,-13.0,-12.0,-16.0,-12.0,1.0,16.0,32.0,18.0,20.0,-4.0,-11.0,-9.0,1.0,-51.0,-6.0,-1.0,1.0,0.0,10.0,-6.0,-7.0,-5.0
Julia,-2.0,0.0,-3.0,0.0,-1.0,0.0,-5.0,-17.0,-3.0,10.0,14.0,10.0,3.0,3.0,7.0,16.0,2.0,-1.0,-2.0,0.0,3.0,7.0,-4.0,-5.0,60.0,23.0,-32.0,-20.0,0.0,-6.0,-29.0,5.0,-4.0,-5.0,-3.0,-11.0,-13.0,-16.0,-15.0,-12.0,82.0,69.0,13.0,-5.0,-89.0,-96.0,-9.0,61.0,-6.0,-7.0,-10.0,-1.0,-3.0,-25.0,-12.0,-2.0,-52.0,-16.0,5.0,-3.0,-23.0,-13.0,-63.0,-152.0
